Title,Author,Audiobook_URL
Daniel Deronda,George Eliot,https://findaudiobook.co/?s=Daniel+Deronda
The Brothers Karamazov,Fyodor Dostoevsky,https://findaudiobook.co/?s=The+Brothers+Karamazov
The Portrait of a Lady,Henry James,https://findaudiobook.co/?s=The+Portrait+of+a+Lady
The Adventures of Huckleberry Finn,Mark Twain,https://findaudiobook.co/?s=The+Adventures+of+Huckleberry+Finn
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,https://findaudiobook.co/?s=The+Strange+Case+of+Dr.+Jekyll+and+Mr.+Hyde
Three Men in a Boat,Jerome K. Jerome,https://findaudiobook.co/?s=Three+Men+in+a+Boat
The Picture of Dorian Gray,Oscar Wilde,https://findaudiobook.co/?s=The+Picture+of+Dorian+Gray
The Diary of a Nobody,George Grossmith,https://findaudiobook.co/?s=The+Diary+of+a+Nobody
Jude the Obscure,Thomas Hardy,https://findaudiobook.co/?s=Jude+the+Obscure
Riddle of the Sands,Erskine Childers,https://findaudiobook.co/?s=Riddle+of+the+Sands
Nostromo,Joseph Conrad,https://findaudiobook.co/?s=Nostromo
In Search of Lost Time,Marcel Proust,https://findaudiobook.co/?s=In+Search+of+Lost+Time
The Rainbow,D. H. Lawrence,https://findaudiobook.co/?s=The+Rainbow
Darkness at Noon,Arthur Koestler,https://findaudiobook.co/?s=Darkness+at+Noon
Way of All Flesh,Samuel Butler,https://findaudiobook.co/?s=Way+of+All+Flesh
Henderson The Rain King,Saul Bellow,https://findaudiobook.co/?s=Henderson+The+Rain+King
U.S.A. Trilogy,John Dos Passos,https://findaudiobook.co/?s=U.S.A.+Trilogy
"Winesburg, Ohio",Sherwood Anderson,https://findaudiobook.co/?s=Winesburg%2C+Ohio
The Ambassadors,Henry James,https://findaudiobook.co/?s=The+Ambassadors
Studs Lonigan,James T. Farrell,https://findaudiobook.co/?s=Studs+Lonigan
The Good Soldier,Ford Madox Ford,https://findaudiobook.co/?s=The+Good+Soldier
The Golden Bowl,Henry James,https://findaudiobook.co/?s=The+Golden+Bowl
Sister Carrie,Theodore Dreiser,https://findaudiobook.co/?s=Sister+Carrie
Point Counter Point,Aldous Huxley,https://findaudiobook.co/?s=Point+Counter+Point
The Secret Agent,Joseph Conrad,https://findaudiobook.co/?s=The+Secret+Agent
Parade's End,Ford Madox Ford,https://findaudiobook.co/?s=Parade%27s+End
Zuleika Dobson,Max Beerbohm,https://findaudiobook.co/?s=Zuleika+Dobson
From Here to Eternity,James Jones,https://findaudiobook.co/?s=From+Here+to+Eternity
The Wapshot Chronicle,John Cheever,https://findaudiobook.co/?s=The+Wapshot+Chronicle
Of Human Bondage,W. Somerset Maugham,https://findaudiobook.co/?s=Of+Human+Bondage
The House of Mirth,Edith Wharton,https://findaudiobook.co/?s=The+House+of+Mirth
The Alexandria Quartet,Lawrence Durrell,https://findaudiobook.co/?s=The+Alexandria+Quartet
A High Wind in Jamaica,Richard Hughes,https://findaudiobook.co/?s=A+High+Wind+in+Jamaica
Scoop,Evelyn Waugh,https://findaudiobook.co/?s=Scoop
Angle of Repose,Wallace Stegner,https://findaudiobook.co/?s=Angle+of+Repose
A Bend in the River,V. S. Naipaul,https://findaudiobook.co/?s=A+Bend+in+the+River
The Old Wives' Tale,Arnold Bennett,https://findaudiobook.co/?s=The+Old+Wives%27+Tale
Tobacco Road,Erskine Caldwell,https://findaudiobook.co/?s=Tobacco+Road
Ironweed,William Kennedy,https://findaudiobook.co/?s=Ironweed
The Magus,John Fowles,https://findaudiobook.co/?s=The+Magus
The Postman Always Rings Twice,James M. Cain,https://findaudiobook.co/?s=The+Postman+Always+Rings+Twice
The Ginger Man,J. P. Donleavy,https://findaudiobook.co/?s=The+Ginger+Man
The Magnificent Ambersons,Booth Tarkington,https://findaudiobook.co/?s=The+Magnificent+Ambersons
The Thirty-Nine Steps,John Buchan,https://findaudiobook.co/?s=The+Thirty-Nine+Steps
The Trial,Franz Kafka,https://findaudiobook.co/?s=The+Trial
Men Without Women,Ernest Hemingway,https://findaudiobook.co/?s=Men+Without+Women
The Pursuit Of Love,Nancy Mitford,https://findaudiobook.co/?s=The+Pursuit+Of+Love
The Plague,Albert Camus,https://findaudiobook.co/?s=The+Plague
Wise Blood,Flannery O'Connor,https://findaudiobook.co/?s=Wise+Blood
The Quiet American,Graham Greene,https://findaudiobook.co/?s=The+Quiet+American
The Tin Drum,Günter Grass,https://findaudiobook.co/?s=The+Tin+Drum
One Hundred Years of Solitude,Gabriel Garcia Marquez,https://findaudiobook.co/?s=One+Hundred+Years+of+Solitude
Mrs Palfrey at the Claremont,Elizabeth Taylor,https://findaudiobook.co/?s=Mrs+Palfrey+at+the+Claremont
"Tinker, Tailor, Soldier, Spy",John le Carré,https://findaudiobook.co/?s=Tinker%2C+Tailor%2C+Soldier%2C+Spy
The Bottle Factory Outing,Beryl Bainbridge,https://findaudiobook.co/?s=The+Bottle+Factory+Outing
The Executioner's Song,Norman Mailer,https://findaudiobook.co/?s=The+Executioner%27s+Song
If on a Winter's Night a Traveller,Italo Calvino,https://findaudiobook.co/?s=If+on+a+Winter%27s+Night+a+Traveller
Waiting for the Barbarians,J M Coetzee,https://findaudiobook.co/?s=Waiting+for+the+Barbarians
Lanark,Alasdair Gray,https://findaudiobook.co/?s=Lanark
The BFG,Roald Dahl,https://findaudiobook.co/?s=The+BFG
The Periodic Table,Primo Levi,https://findaudiobook.co/?s=The+Periodic+Table
An Artist of the Floating World,Kazuo Ishiguro,https://findaudiobook.co/?s=An+Artist+of+the+Floating+World
Oscar and Lucinda,Peter Carey,https://findaudiobook.co/?s=Oscar+and+Lucinda
The Book of Laughter and Forgetting,Milan Kundera,https://findaudiobook.co/?s=The+Book+of+Laughter+and+Forgetting
Haroun and the Sea of Stories,Salman Rushdie,https://findaudiobook.co/?s=Haroun+and+the+Sea+of+Stories
L.A. Confidential,James Ellroy,https://findaudiobook.co/?s=L.A.+Confidential
Wise Children,Angela Carter,https://findaudiobook.co/?s=Wise+Children
Northern Lights,Philip Pullman,https://findaudiobook.co/?s=Northern+Lights
Austerlitz,W. G. Sebald,https://findaudiobook.co/?s=Austerlitz
His Family,Ernest Poole,https://findaudiobook.co/?s=His+Family
Alice Adams,Booth Tarkington,https://findaudiobook.co/?s=Alice+Adams
One of Ours,Willa Cather,https://findaudiobook.co/?s=One+of+Ours
The Able McLaughlins,Margaret Wilson,https://findaudiobook.co/?s=The+Able+McLaughlins
So Big,Edna Ferber,https://findaudiobook.co/?s=So+Big
Arrowsmith,Sinclair Lewis,https://findaudiobook.co/?s=Arrowsmith
Early Autumn,Louis Bromfield,https://findaudiobook.co/?s=Early+Autumn
Scarlet Sister Mary,Julia Peterkin,https://findaudiobook.co/?s=Scarlet+Sister+Mary
Laughing Boy,Oliver La Farge,https://findaudiobook.co/?s=Laughing+Boy
Years of Grace,Margaret Ayer Barnes,https://findaudiobook.co/?s=Years+of+Grace
The Good Earth,Pearl S. Buck,https://findaudiobook.co/?s=The+Good+Earth
The Store,Thomas Sigismund Stribling,https://findaudiobook.co/?s=The+Store
Lamb in His Bosom,Caroline Miller,https://findaudiobook.co/?s=Lamb+in+His+Bosom
Now in November,Josephine Winslow Johnson,https://findaudiobook.co/?s=Now+in+November
Honey in the Horn,Harold L. Davis,https://findaudiobook.co/?s=Honey+in+the+Horn
The Late George Apley,John P. Marquand,https://findaudiobook.co/?s=The+Late+George+Apley
The Yearling,Marjorie Kinnan Rawlings,https://findaudiobook.co/?s=The+Yearling
In This Our Life,Ellen Glasgow,https://findaudiobook.co/?s=In+This+Our+Life
Dragon's Teeth,Upton Sinclair,https://findaudiobook.co/?s=Dragon%27s+Teeth
Journey in the Dark,Martin Flavin,https://findaudiobook.co/?s=Journey+in+the+Dark
